level_0,index,rank,title,studio,total_gross,gross,theaters,release_date,year,genres
22,22,23,Like a Boss,Paramount Pictures,"$22,169,514","$22,169,514","3,081",Jan 10,2020,Comedy            
23,23,24,The Grudge,Sony Pictures,"$21,221,803","$21,221,803","2,642",Jan 3,2020,"Fantasy, Horror, Mystery            "
24,24,25,Unhinged,Solstice Studios,"$20,831,465","$20,831,465","2,402",Aug 14,2020,"Action, Thriller            "
25,25,26,The Photograph,Universal Pictures,"$20,578,185","$20,578,185","2,516",Feb 14,2020,"Drama, Romance            "
26,26,27,The War with Grandpa,101 Studios,"$17,962,824","$17,962,824","2,365",Oct 9,2020,"Comedy, Drama, Family            "
27,27,28,Underwater,Twentieth Century Fox,"$17,291,078","$17,291,078","2,791",Jan 10,2020,"Action, Horror, Sci-Fi            "
28,28,29,The Turning,Universal Pictures,"$15,472,775","$15,472,775","2,571",Jan 24,2020,"Drama, Horror, Mystery            "
29,29,30,Gretel & Hansel,United Artists Releasing,"$15,347,654","$15,347,654","3,007",Jan 31,2020,"Fantasy, Horror, Mystery            "
30,30,31,Honest Thief,Open Road Films (II),"$14,020,991","$14,020,991","2,502",Oct 9,2020,"Action, Crime, Drama            "
31,31,32,My Hero Academia: Heroes Rising,FUNimation Entertainment,"$13,304,000","$13,651,826","1,231",Feb 26,2020,"Animation, Action, Adventure            "
32,32,33,Bombshell,Lionsgate,"$31,762,808","$13,644,923","1,721",Dec 13,2020,"Biography, Drama            "
33,33,34,The Way Back,Warner Bros.,"$13,590,514","$13,590,514","2,718",Mar 6,2020,"Drama, Sport            "
34,34,35,Brahms: The Boy II,STX Entertainment,"$12,611,536","$12,611,536","2,151",Feb 21,2020,"Drama, Horror, Mystery            "
35,35,36,Jojo Rabbit,Fox Searchlight Pictures,"$33,370,906","$12,311,180","1,173",Oct 18,2020,"Comedy, Drama, War            "
36,36,37,Impractical Jokers: The Movie,truTV,"$10,691,091","$10,466,091","1,900",Feb 21,2020,Comedy            
37,37,38,Ford v Ferrari,Twentieth Century Fox,"$117,624,357","$10,427,913","3,746",Nov 15,2020,"Action, Biography, Drama            "
38,38,39,Emma.,Focus Features,"$10,055,355","$10,055,355","1,732",Feb 21,2020,"Comedy, Drama, Romance            "
